L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
1613,1042,18,2,18,496,0.01,0.06,N,O,1995-02-03,1995-02-20,1995-02-16,TAKE BACK RETURN,REG AIR,regular customer request
241,288,36,7,45,307,0.0,0.02,R,O,1994-03-04,1994-04-12,1994-03-07,DELIVER IN PERSON,AIR,delayed by supplier
9499,365,1,1,25,954,0.1,0.08,A,O,1998-06-30,1998-08-15,1998-07-07,NONE,MAIL,delayed by supplier
10916,1677,91,6,25,263,0.03,0.0,R,O,1995-03-20,1995-04-18,1995-03-24,NONE,REG AIR,check packaging carefully
7105,1695,26,3,17,599,0.03,0.02,A,F,1992-01-08,1992-01-27,1992-02-04,DELIVER IN PERSON,RAIL,check packaging carefully
14893,1095,10,6,12,286,0.01,0.08,R,F,1995-05-09,1995-06-18,1995-05-12,TAKE BACK RETURN,RAIL,customer compliant regarding quality
15178,1748,81,1,18,485,0.02,0.0,A,O,1997-08-31,1997-09-19,1997-09-05,NONE,TRUCK,regular customer request
9734,1270,6,6,17,585,0.1,0.01,A,F,1997-07-30,1997-09-03,1997-08-01,DELIVER IN PERSON,FOB,regular customer request
14863,1970,55,4,37,758,0.1,0.02,N,F,1994-09-26,1994-10-07,1994-10-13,COLLECT COD,AIR,customer compliant regarding quality
10274,1848,99,3,4,570,0.05,0.06,N,O,1994-07-04,1994-07-21,1994-07-12,DELIVER IN PERSON,RAIL,fragile items inside
1618,1772,76,1,23,268,0.03,0.04,N,O,1994-11-22,1994-12-31,1994-11-23,COLLECT COD,RAIL,delayed by supplier
9937,568,75,7,8,325,0.05,0.04,A,F,1993-05-18,1993-06-21,1993-05-22,DELIVER IN PERSON,SHIP,urgent delivery needed
14438,1483,32,2,19,348,0.03,0.01,N,O,1992-09-17,1992-11-10,1992-09-25,DELIVER IN PERSON,SHIP,delayed by supplier
19622,381,83,3,22,828,0.03,0.01,R,O,1997-08-31,1997-10-20,1997-09-28,TAKE BACK RETURN,FOB,customer compliant regarding quality
4796,341,29,6,38,621,0.0,0.06,R,F,1992-11-18,1992-12-25,1992-11-24,TAKE BACK RETURN,AIR,fragile items inside
7394,1183,38,4,11,849,0.03,0.04,N,O,1997-10-07,1997-12-03,1997-10-20,DELIVER IN PERSON,AIR,fragile items inside
16556,1882,19,5,33,895,0.05,0.01,N,O,1993-10-07,1993-11-27,1993-10-09,DELIVER IN PERSON,SHIP,check packaging carefully
11226,1108,94,6,21,895,0.02,0.01,R,F,1994-10-19,1994-12-03,1994-11-07,NONE,TRUCK,fragile items inside
17206,1549,75,1,35,233,0.01,0.01,R,O,1995-03-05,1995-04-11,1995-04-03,TAKE BACK RETURN,RAIL,regular customer request
6438,853,9,5,43,615,0.0,0.06,R,F,1993-11-20,1994-01-02,1993-11-22,DELIVER IN PERSON,AIR,customer compliant regarding quality
1595,1533,23,4,47,505,0.04,0.04,R,O,1992-12-07,1992-12-28,1992-12-29,DELIVER IN PERSON,REG AIR,urgent delivery needed
612,538,56,4,3,492,0.0,0.0,A,F,1998-09-03,1998-09-14,1998-09-10,DELIVER IN PERSON,REG AIR,regular customer request
257,994,82,5,33,957,0.01,0.08,A,O,1997-10-23,1997-11-12,1997-11-21,DELIVER IN PERSON,FOB,urgent delivery needed
5568,1786,47,5,18,793,0.04,0.06,N,O,1997-01-28,1997-03-09,1997-02-04,NONE,MAIL,fragile items inside
15726,1635,90,7,43,244,0.02,0.0,R,O,1997-11-02,1997-12-10,1997-11-12,NONE,SHIP,fragile items inside
9557,1597,91,1,30,755,0.03,0.04,A,O,1995-08-03,1995-09-19,1995-08-31,TAKE BACK RETURN,FOB,customer compliant regarding quality
15825,1621,34,2,6,573,0.1,0.08,R,F,1993-08-08,1993-09-20,1993-08-29,NONE,SHIP,regular customer request
7576,216,94,7,32,783,0.03,0.01,R,O,1993-07-10,1993-08-22,1993-07-24,DELIVER IN PERSON,FOB,regular customer request
8307,729,68,4,38,623,0.04,0.0,N,O,1994-06-01,1994-07-09,1994-06-30,TAKE BACK RETURN,FOB,delayed by supplier
294,1491,78,5,49,87,0.0,0.02,R,O,1994-08-25,1994-10-18,1994-08-31,COLLECT COD,REG AIR,customer compliant regarding quality
15988,1856,13,3,2,442,0.1,0.06,A,F,1994-06-16,1994-08-12,1994-07-02,COLLECT COD,RAIL,check packaging carefully
1252,1359,47,5,18,135,0.0,0.08,N,O,1993-07-08,1993-08-11,1993-08-04,TAKE BACK RETURN,SHIP,urgent delivery needed
14200,1567,72,3,6,973,0.03,0.0,A,O,1996-09-16,1996-10-30,1996-09-28,DELIVER IN PERSON,RAIL,customer compliant regarding quality
14325,644,88,1,47,93,0.04,0.02,A,O,1997-04-19,1997-04-29,1997-04-29,TAKE BACK RETURN,RAIL,check packaging carefully
1343,1254,92,2,34,989,0.1,0.08,R,F,1997-08-18,1997-09-12,1997-08-29,TAKE BACK RETURN,REG AIR,check packaging carefully
17243,463,95,6,39,183,0.0,0.02,A,O,1994-10-15,1994-11-05,1994-11-12,COLLECT COD,AIR,check packaging carefully
19486,929,70,3,19,563,0.03,0.06,R,F,1996-09-24,1996-11-17,1996-10-02,DELIVER IN PERSON,RAIL,customer compliant regarding quality
13539,496,86,5,18,120,0.1,0.04,N,F,1992-11-26,1993-01-18,1992-12-18,TAKE BACK RETURN,AIR,fragile items inside
1255,1092,41,3,32,804,0.0,0.01,N,O,1995-11-10,1995-11-26,1995-11-24,TAKE BACK RETURN,FOB,customer compliant regarding quality
18914,1367,92,2,21,988,0.04,0.04,A,F,1994-10-13,1994-11-21,1994-11-01,TAKE BACK RETURN,SHIP,check packaging carefully
17037,1650,22,4,4,890,0.1,0.0,A,F,1992-03-19,1992-04-06,1992-04-13,COLLECT COD,REG AIR,regular customer request
11096,576,39,6,4,147,0.0,0.01,A,O,1997-08-10,1997-09-10,1997-08-15,DELIVER IN PERSON,REG AIR,regular customer request
16031,1092,10,1,18,107,0.0,0.08,N,F,1995-08-04,1995-10-01,1995-08-20,NONE,MAIL,delayed by supplier
7728,71,51,3,24,480,0.02,0.0,R,O,1992-01-08,1992-03-04,1992-02-02,COLLECT COD,TRUCK,customer compliant regarding quality
10221,801,35,5,27,936,0.03,0.08,A,O,1996-12-22,1997-01-08,1997-01-12,NONE,RAIL,delayed by supplier
12108,1327,93,6,40,314,0.05,0.06,A,O,1998-09-18,1998-11-11,1998-10-03,DELIVER IN PERSON,FOB,check packaging carefully
18983,1534,20,1,15,78,0.03,0.08,A,O,1996-02-17,1996-03-29,1996-03-02,NONE,SHIP,regular customer request
8622,1157,89,4,42,590,0.05,0.0,N,F,1992-04-14,1992-05-09,1992-05-03,COLLECT COD,SHIP,delayed by supplier
7860,1260,94,7,35,9,0.0,0.01,N,F,1992-04-05,1992-05-28,1992-05-02,TAKE BACK RETURN,REG AIR,regular customer request
5861,992,68,2,33,408,0.03,0.02,R,O,1996-05-22,1996-07-20,1996-06-11,DELIVER IN PERSON,FOB,delayed by supplier
12219,1182,92,5,23,761,0.01,0.06,N,F,1993-08-13,1993-09-04,1993-08-19,DELIVER IN PERSON,SHIP,delayed by supplier
1485,1960,63,1,43,253,0.01,0.02,A,O,1997-06-03,1997-06-20,1997-06-27,DELIVER IN PERSON,TRUCK,check packaging carefully
11961,127,10,4,27,742,0.0,0.08,R,O,1997-01-20,1997-02-11,1997-01-24,DELIVER IN PERSON,MAIL,fragile items inside
9546,1107,35,4,23,899,0.02,0.0,A,O,1993-07-13,1993-09-05,1993-07-24,NONE,REG AIR,regular customer request
